dtxsid,aver_toxvalmgL,error,species_common,toxval_type,exactMass,molformula,aver_toxval_cm,weight
DTXSID2020682,0.9845486916583659,0.2278059707967598,bluegill,LC50stat,281.8131162,C6Cl6,-1.4654125106022766,2.729695190827301
DTXSID7020683,0.15403478285476752,-0.2,bluegill,LC50stat,257.8131162,C4Cl6,-2.2572702253852004,2.4224149331700895
DTXSID7020689,0.24573388603373386,-0.2,bluegill,LC50stat,233.8131162,C2Cl6,-2.1231349840662888,2.4224149331700895
DTXSID8020759,2.198435368925761,-0.2,bluegill,LC50stat,138.104465071,C9H14O,0.058227648896378506,2.4224149331700895
DTXSID2020761,1.605759718593388,-0.2,bluegill,LC50stat,68.0626002576,C5H8,-0.22714881823157326,2.4224149331700895
DTXSID8020832,1.1179118617561397,-0.2,bluegill,LC50stat,93.941813,CH3Br,-0.8549470756995404,2.4224149331700895
DTXSID2020844,2.253582858367725,0.06075759871624469,bluegill,LC50stat,100.052429498,C5H8O2,0.25335521962073454,3.254994260901688
DTXSID1020855,0.785773923116978,0.39024937542920424,bluegill,LC50stat,263.001730598,C8H10NO5PS,-1.6341846831168445,2.4224149331700895
DTXSID6020856,2.6782237901121815,-0.2,bluegill,LC50stat,99.068413914,C5H9NO,0.6822885801216665,2.4224149331700895
DTXSID0020868,2.198435368925761,-0.2,bluegill,LC50stat,83.9533555,CH2Cl2,0.27439730995245576,2.4224149331700895
DTXSID8020913,1.5029384012412859,0.018752823980102775,bluegill,LC50stat,128.0626002576,C10H8,-0.604483914504417,3.254994260901688
DTXSID8020915,1.592460177105557,-0.2,bluegill,LC50stat,186.068079562,C12H10O2,-0.6772116981255855,2.4224149331700895
DTXSID8020961,1.8335634561075753,-0.2,bluegill,LC50stat,138.042927441,C6H6N2O2,-0.30645070458135726,2.4224149331700895
DTXSID3020964,1.6096390241566862,-0.2,bluegill,LC50stat,123.032028405,C6H5NO2,-0.4803791600377056,2.4224149331700895
DTXSID2021105,0.20691283924701254,-0.2,bluegill,LC50stat,292.8371667,C6Cl5NO2,-2.259713357006678,2.4224149331700895
DTXSID5021124,1.367315322111308,0.1371344523835025,bluegill,LC50stat,94.041864813,C6H6O,-0.606005910314859,3.254994260901688
DTXSID2021151,0.7245047469097587,0.13842249872876364,bluegill,LC50stat,170.073164942,C12H10O,-1.5061310467909759,3.254994260901688
DTXSID5021207,2.1901433345942616,-0.2,bluegill,LC50stat,58.041864813,C3H6O,0.42640197726230983,2.4224149331700895
DTXSID2021284,1.1129786995901672,0.5138614786355922,bluegill,LC50stat,104.0626002576,C8H8,-0.9043159740111558,2.035287591877763
DTXSID7021318,1.3511422669709114,-0.2,bluegill,LC50stat,165.8910609,C2H2Cl4,-0.868680717568228,2.4224149331700895
